Frame result index,Frame Number,Person UUID,Person UUID Confidence,Headpose Pitch (deg),Headpose Yaw (deg),Headpose Roll (deg),Headpose Pitch Calib (deg),Headpose Yaw Calib (deg),Headpose (X:Y:Z) (mm),Headpose Confidence,Face Rect (X:Y Width X Height),Face Rect detect algorithm,Face Rect Confidence,EyeState Right,EyeState Left,EyeState Right Confidence,EyeState Left Confidence,Eyewear,Eyewear Confidence,EyeGaze Horizontal Left (deg),EyeGaze Horizontal Right (deg),EyeGaze Vertical Left (deg),EyeGaze Vertical Right (deg),Iris RadiusL (mm),Iris RadiusR (mm),Eye Aperture Left (mm),Eye Aperture Right (mm),Eye Aperture Left Confidence,Eye Aperture Right Confidence,Eyelid Closed Left (%),Eyelid Closed Right (%),Eye Center Left (X:Y) (mm),Eye Center Right (X:Y) (mm),Drowsiness Level (0-10),Age,Gender,Ethnic,Emotion,Heart rate,Breath rate,Illumination Variance,Illumination Tl Average,Illumination Bl Average,Illumination Tr Average,Illumination Br Average,Frame Time,Time From Start
0,38,,0,0.555646,0.915539,1.25309,0,0,-22.9383:-40.7728:728.751,0.99,205:145 183x183,512,0.788006,opened,opened,0.999992,1,none,0.999565,3.19148,3.19148,7.21256,7.21256,5.24515,5.24515,5.33774,4.7495,0.99,0.594752,0.51475,0.568227,5:-21,-48:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.938,1480
0,39,,0,0.307527,1.21944,1.15013,0,0,-22.7104:-41.0145:728.754,0.99,205:145 183x183,64,0.979899,opened,opened,0.999709,0.999999,none,0.999582,2.36209,2.36209,6.84712,6.84712,5.24517,5.24517,5.85694,4.92871,0.989998,0.883893,0.467551,0.551935,5:-22,-49:-21,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.978,1520
0,40,,0,0.276963,1.17996,1.19663,0,0,-22.8619:-41.4016:728.756,0.99,205:145 183x183,512,0.978919,opened,opened,0.999984,1,none,0.999582,3.16849,3.16849,5.30471,5.30471,5.68229,4.80809,5.70437,4.81509,0.99,0.984562,0.481421,0.562265,5:-22,-49:-21,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.018,1560
0,41,,0,0.379581,0.974144,1.22451,0,0,-22.757:-41.4045:728.759,0.99,205:146 183x183,512,0.97794,opened,opened,0.999969,1,none,0.999596,2.52584,2.52584,4.01652,4.01652,5.68231,4.80811,5.78198,4.99743,0.99,0.98881,0.474365,0.545689,4:-21,-49:-22,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.058,1600
0,42,,0,0.744061,0.867478,1.11703,0,0,-22.4772:-41.0821:728.761,0.99,205:146 183x183,512,0.976962,opened,opened,0.999899,0.999999,none,0.999596,2.70147,2.70147,2.67383,2.67383,5.68232,5.24522,6.03385,5.25538,0.99,0.986509,0.451468,0.522238,5:-21,-50:-22,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.098,1640
0,43,,0,0.916812,0.826296,1.32779,0,0,-22.1001:-40.7334:728.763,0.99,205:146 183x183,512,0.975985,opened,opened,0.999991,1,none,0.999593,3.49875,3.49875,1.82501,1.82501,5.24524,5.24524,5.83637,5.47714,0.989996,0.988726,0.469421,0.502078,5:-21,-49:-22,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.138,1680
0,44,,0,0.684777,0.89951,1.36142,0,0,-22.0573:-40.5539:728.765,0.99,205:146 183x183,512,0.975009,opened,opened,0.999986,1,none,0.999593,3.8545,3.8545,1.49497,1.49497,5.24525,4.80815,5.69851,5.39408,0.99,0.8789,0.481954,0.509629,5:-21,-49:-21,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.178,1720
0,45,,0,0.571443,0.854412,1.40709,0,0,-22.0244:-40.4815:728.767,0.99,205:146 183x183,512,0.974034,opened,opened,0.999986,1,none,0.999595,3.78958,3.78958,1.29495,1.29495,5.24527,4.80816,5.73152,5.36434,0.989729,0.99,0.478953,0.512333,5:-21,-50:-21,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.218,1760
0,46,,0,0.655033,0.494461,1.46101,0,0,-21.7749:-40.5105:728.769,0.99,205:146 183x183,512,0.97306,opened,opened,0.99999,1,none,0.999595,3.78487,3.78487,1.55968,1.55968,5.24528,4.80818,5.65689,5.68662,0.988986,0.989999,0.485737,0.483035,6:-21,-50:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.258,1800
0,47,,0,0.876301,-0.236214,1.21882,0,0,-21.0583:-40.3397:728.771,0.99,206:146 183x183,512,0.972087,opened,opened,0.99998,1,none,0.999596,3.42761,3.42761,2.32085,2.32085,4.80819,5.6824,5.48718,5.79705,0.811046,0.989696,0.501166,0.472995,6:-21,-48:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.298,1840
0,48,,0,1.18274,-1.0774,1.34102,0,0,-19.6687:-39.987:728.773,0.99,207:146 183x183,512,0.971115,opened,opened,0.99997,1,none,0.999596,2.61756,2.61756,3.05384,3.05384,5.24531,5.24531,5.52027,5.587,0.989549,0.989998,0.498157,0.492091,6:-21,-48:-21,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.338,1880
0,49,,0,1.21138,-1.46267,1.29729,0,0,-18.155:-39.6489:728.775,0.99,208:146 183x183,512,0.970144,opened,opened,0.999989,1,none,0.999608,2.34026,2.34026,3.49654,3.49654,5.24532,5.24532,5.49873,5.42524,0.989998,0.978155,0.500115,0.506796,7:-21,-47:-21,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.378,1920
0,50,,0,1.00364,-1.57896,1.27153,0,0,-16.3977:-38.9736:728.776,0.99,209:147 183x183,512,0.960442,opened,opened,0.999785,1,none,0.999608,2.29206,2.29206,4.18348,4.18348,5.24533,5.24533,5.29397,5.2433,0.99,0.413036,0.51873,0.523336,7:-20,-46:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.418,1960
0,51,,0,1.01191,-2.00763,1.17056,0,0,-15.0327:-38.763:728.778,0.99,210:146 183x183,512,0.950838,opened,opened,0.972358,0.992334,none,0.999712,1.8442,1.8442,5.12294,5.12294,4.80823,4.80823,4.47824,4.78327,0.989999,0.980945,0.592887,0.565157,8:-20,-46:-19,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.458,2000
0,52,,0,1.00599,-3.45751,0.662364,0,0,-13.5322:-38.6084:728.779,0.983926,211:146 183x183,512,0.949887,opened,opened,0.937127,0.985049,none,0.999712,0.429495,0.429495,6.13563,6.13563,4.37113,5.24535,3.79325,4.14677,0.983925,0.966606,0.655159,0.623021,9:-19,-42:-19,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.498,2040
0,53,,0,0.719781,-4.65505,0.854074,0,0,-10.9149:-38.4637:728.781,0.98234,214:147 183x183,512,0.940388,closed,opened,0.733152,0.999877,none,0.999727,3.50287,9999,6.09371,9999,4.80825,9999,3.89454,0,0.98234,0.98201,0.645951,1,13:-19,-39:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.538,2080
0,54,,0,-0.168471,-5.77433,0.724385,0,0,-8.04232:-38.8912:728.782,0.9138,217:146 183x183,512,0.930984,opened,opened,0.803853,0.999489,none,0.999727,-5.70465,-5.70465,6.29574,6.29574,4.37114,5.24537,4.31756,4.59761,0.913799,0.912025,0.607494,0.582036,17:-20,-34:-22,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.578,2120
0,55,,0,-1.33379,-8.3366,0.702125,0,0,-3.42163:-39.3493:728.783,0.844672,221:147 183x183,512,0.921675,opened,opened,0.996669,0.999511,none,0.999734,-12.1226,-12.1226,4.50048,4.50048,4.37115,5.24538,5.24476,5.33655,0.844655,0.840639,0.523204,0.514859,21:-20,-30:-22,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:11.618,2160
